ID,Time in System, Time in search
81,56.00976,0
83,81.4202,0
84,81.4202,0
85,81.4202,0
86,81.4202,0
102,59.84425,0
99,88.49229,0
100,89.35466,0
101,89.35466,0
87,106.7524,0
88,106.7524,0
89,106.7524,0
80,128.3574,0
109,78.44843,0
117,78.56305,0
107,115.2401,0
108,115.2401,0
82,159.7859,0
120,87.71533,0
97,146.9388,0
136,77.63337,0
133,90.87418,0
128,105.4254,0
104,156.8421,0
105,156.8421,0
98,179.8199,0
112,160.782,0
113,160.8549,0
121,145.7388,0
110,178.6401,0
106,194.6194,0
161,106.0707,0
173,87.89929,0
141,147.6136,0
111,207.1128,0
139,167.087,0
140,167.087,0
90,251.2986,0
91,251.2986,0
92,251.2986,0
93,251.2986,0
118,201.4682,0
144,173.7849,0
143,174.8307,0
154,159.1437,0
155,159.1437,0
119,223.1956,0
168,144.2335,0
131,213.4355,0
132,213.4355,0
103,272.855,0
142,218.7529,0
167,182.0418,0
160,205.6305,0
94,321.7401,0
95,321.7401,0
96,321.7401,0
148,223.6114,0
149,223.6114,0
122,268.6493,0
123,268.6493,0
124,268.6493,0
125,268.6493,0
180,181.9195,0
181,183.434,0
197,169.7999,0
147,250.2572,0
114,309.1432,0
115,309.1432,0
116,309.1432,0
150,267.9979,0
134,298.3921,0
135,298.8455,0
215,180.5886,0
206,202.0625,0
126,334.3812,0
129,330.1416,0
130,330.1416,0
226,182.5433,0
216,203.5864,0
175,267.8537,0
164,296.5903,0
165,296.5903,0
217,220.6626,0
151,322.6051,0
152,322.6051,0
153,322.6051,0
127,370.904,0
213,250.5773,0
190,287.3251,0
166,327.1809,0
286,137.7927,0
156,349.2421,0
214,283.6786,0
185,325.3088,0
186,325.3088,0
187,325.3088,0
225,267.0701,0
188,328.1084,0
137,413.7441,0
258,215.9191,0
170,358.2461,0
171,358.2461,0
172,358.2461,0
138,417.9008,0
233,285.0511,0
158,407.4867,0
157,409.2396,0
159,409.2396,0
237,280.788,0
228,299.2113,0
236,283.6052,0
145,436.1924,0
146,442.056,0
229,316.2817,0
230,316.2817,0
257,270.1689,0
174,410.7913,0
234,318.6557,0
207,375.8676,0
208,375.8676,0
209,375.8676,0
169,436.6174,0
278,272.9881,0
253,313.3121,0
189,431.8525,0
239,347.6595,0
202,416.4205,0
203,416.4205,0
204,416.4205,0
163,482.6979,0
162,486.8597,0
302,265.8206,0
201,445.8125,0
298,282.3722,0
244,370.7391,0
211,437.2217,0
212,437.2217,0
182,485.6888,0
183,485.6888,0
184,485.6888,0
287,328.205,0
191,492.9809,0
192,492.9809,0
193,492.9809,0
194,501.4563,0
195,501.4563,0
196,501.4563,0
198,505.0032,0
199,505.0032,0
200,505.0032,0
268,391.5144,0
223,482.778,0
224,482.778,0
266,406.4143,0
267,406.4143,0
176,558.2993,0
177,558.2993,0
178,558.2993,0
179,558.2993,0
227,484.0563,0
240,476.6255,0
231,498.3926,0
308,368.0488,0
288,407.4757,0
340,328.282,0
339,328.6779,0
232,503.342,0
210,553.5598,0
292,424.8719,0
269,465.4194,0
270,466.4493,0
344,353.0749,0
235,531.0748,0
205,592.6016,0
348,372.3821,0
294,463.4286,0
260,519.9707,0
352,376.9018,0
218,598.2886,0
353,384.1126,0
255,545.8951,0
256,545.8951,0
290,490.1259,0
291,490.1259,0
299,477.2893,0
300,477.2893,0
301,477.2893,0
245,564.2751,0
246,564.2751,0
248,564.2751,0
247,565.1653,0
366,363.5579,0
328,439.4319,0
219,622.5247,0
220,622.5247,0
221,622.5247,0
222,622.5247,0
362,377.9642,0
297,495.1687,0
274,536.6991,0
243,600.7122,0
284,543.201,0
283,543.4629,0
285,543.4629,0
309,496.9471,0
304,508.0005,0
368,398.7505,0
242,612.3782,0
241,618.2343,0
238,643.8152,0
254,622.0266,0
293,568.7747,0
369,432.4657,0
249,644.3522,0
250,644.3522,0
251,644.3522,0
252,644.3522,0
265,638.551,0
263,638.9052,0
264,638.9052,0
357,487.5636,0
378,442.1649,0
401,406.1691,0
261,656.9044,0
262,656.9044,0
303,599.5486,0
321,579.2397,0
373,476.7595,0
355,527.4344,0
377,488.1337,0
396,464.1341,0
281,677.9269,0
282,677.9269,0
367,533.3701,0
337,606.4714,0
418,449.5588,0
305,649.4784,0
329,620.387,0
306,650.5203,0
307,650.5203,0
279,707.7491,0
280,707.7787,0
345,615.0575,0
416,482.0098,0
271,736.6471,0
272,736.6471,0
376,546.3152,0
273,737.6742,0
312,670.7183,0
311,672.4113,0
400,519.158,0
442,448.6186,0
295,719.1558,0
296,719.1558,0
435,478.6021,0
387,564.6738,0
