ID,Time in System, Time in search
880,127.5665,0
917,61.09122,0
902,93.18111,0
889,139.3568,0
894,145.6529,0
932,78.63213,0
911,119.3536,0
882,209.1392,0
933,100.72,0
915,134.9838,0
937,97.28276,0
883,232.3589,0
888,219.7539,0
931,137.5813,0
950,109.724,0
890,222.3027,0
891,222.74,0
892,222.74,0
893,222.74,0
964,88.90419,0
952,111.6889,0
895,219.1941,0
898,212.9278,0
977,82.03839,0
953,131.9427,0
913,202.5183,0
912,206.9349,0
976,91.83978,0
896,250.8901,0
974,118.4677,0
914,229.6487,0
983,102.0646,0
908,244.2872,0
919,238.3044,0
957,171.0402,0
978,133.7755,0
979,138.4054,0
886,323.2559,0
887,323.2559,0
946,210.1696,0
982,136.7648,0
954,198.3989,0
955,198.3989,0
916,267.7491,0
909,281.2509,0
910,281.2509,0
1020,83.89221,0
988,144.5379,0
961,201.0139,0
962,201.0139,0
1044,53.17789,0
970,189.923,0
968,202.707,0
918,289.9165,0
984,167.5603,0
985,167.5603,0
993,154.4161,0
936,264.2625,0
1014,141.8813,0
981,201.0223,0
971,222.5767,0
1018,139.9689,0
1003,167.5566,0
1002,168.9011,0
945,283.5935,0
885,399.8268,0
969,243.5342,0
972,237.6328,0
973,237.6328,0
1010,180.6326,0
996,211.2878,0
994,213.0822,0
995,213.0822,0
1066,98.85574,0
1071,92.98135,0
975,263.2103,0
1039,150.2059,0
963,295.7585,0
1011,219.2889,0
1035,174.6413,0
980,273.4871,0
1025,238.4369,0
1063,172.8766,0
1062,175.6441,0
934,408.6097,0
935,408.6097,0
1104,112.9777,0
989,310.4681,0
1033,235.7418,0
1019,266.5395,0
1089,148.0391,0
1100,129.5365,0
1135,68.12454,0
1050,220.9696,0
1013,307.4064,0
1098,165.3553,0
1034,271.1868,0
881,569.916,0
1149,65.19437,0
1142,88.90765,0
1152,69.16998,0
884,571.9729,0
1138,105.6428,0
897,550.832,0
1107,174.8615,0
956,448.3307,0
1113,169.9833,0
899,549.658,0
1015,350.2077,0
1016,350.2077,0
991,388.6417,0
992,388.6417,0
900,553.8201,0
901,553.8201,0
1164,69.02374,0
1132,148.5744,0
1133,148.5744,0
1090,226.011,0
1091,226.011,0
1092,226.011,0
1093,226.011,0
1067,269.8211,0
