ID,Time in System, Time in search
81,35.0761,0
102,28.14285,0
83,59.57142,0
84,59.57142,0
85,59.57142,0
86,59.57142,0
80,68.14285,0
87,61.12737,0
88,61.12737,0
89,61.12737,0
99,53.85714,0
100,53.85714,0
101,53.85714,0
109,34.16715,0
82,89.06781,0
97,71.70943,0
98,77.75775,0
104,61.45911,0
105,61.45911,0
107,56.71429,0
108,56.71429,0
106,68.30911,0
110,59.14091,0
90,101.5874,0
91,101.5874,0
92,101.5874,0
93,101.5874,0
117,56.71428,0
121,48.14286,0
111,68.14285,0
128,43.35053,0
112,68.84326,0
113,68.84326,0
103,94.87614,0
118,60.1241,0
131,48.14287,0
132,48.14287,0
94,121.5874,0
95,121.5874,0
96,121.5874,0
120,66.06265,0
114,84.06227,0
115,84.06227,0
116,84.06227,0
136,50.72613,0
119,78.14287,0
133,59.57143,0
142,49.58278,0
139,57.52446,0
140,57.52446,0
126,79.82545,0
147,51.96529,0
127,88.33605,0
141,66.80909,0
161,35.70193,0
122,100.074,0
123,100.074,0
124,100.074,0
125,100.074,0
134,85.6525,0
135,86.92898,0
154,56.71429,0
155,56.71429,0
143,76.89764,0
137,87.27531,0
144,78.10636,0
160,53.50113,0
129,99.8474,0
130,99.8474,0
151,66.54459,0
152,66.54459,0
153,66.54459,0
138,91.81,0
168,40.93089,0
145,83.53369,0
166,53.03796,0
146,88.09258,0
164,59.57143,0
165,59.57143,0
156,78.14285,0
150,86.83678,0
180,42.18018,0
148,88.14286,0
149,88.14286,0
181,43.87059,0
158,87.98561,0
169,63.93095,0
167,75.31821,0
157,89.26361,0
159,89.26361,0
173,65.78516,0
174,65.95026,0
162,93.2206,0
170,75.28571,0
171,75.28571,0
172,75.28571,0
182,63.30019,0
183,63.30019,0
184,63.30019,0
163,98.21327,0
189,58.74899,0
175,75.8468,0
206,53.85713,0
209,48.14285,0
190,75.6465,0
207,48.7023,0
208,48.76227,0
197,66.69931,0
185,87.47404,0
186,87.47404,0
187,87.47404,0
188,87.47404,0
191,81.63553,0
192,81.63553,0
193,81.63553,0
194,83.24048,0
195,83.24048,0
196,83.24048,0
214,57.50639,0
226,35.55713,0
211,64.99289,0
212,64.99289,0
210,70.39284,0
216,60.88528,0
176,118.3354,0
177,118.3354,0
178,118.3354,0
179,118.3354,0
205,88.21451,0
231,46.59554,0
215,74.16483,0
237,37.18109,0
218,72.52449,0
236,39.57144,0
202,102.4486,0
203,102.4486,0
204,102.4486,0
213,86.78609,0
201,108.0676,0
217,83.61089,0
233,53.85715,0
225,76.05035,0
199,121.2004,0
200,121.2004,0
228,71.09573,0
239,50.11032,0
198,123.4408,0
227,73.85713,0
223,90.54327,0
224,90.54327,0
232,72.43002,0
229,78.14284,0
230,78.14284,0
219,100.9187,0
220,100.9187,0
221,100.9187,0
222,100.9187,0
257,35.91074,0
234,75.56592,0
255,43.95377,0
256,45.28571,0
240,65.49994,0
235,77.38721,0
241,65.76178,0
253,56.71429,0
242,69.95087,0
260,48.14288,0
243,75.39273,0
244,76.32312,0
278,28.14285,0
254,75.15762,0
261,59.57144,0
262,59.57144,0
245,86.22986,0
246,86.22986,0
247,86.22986,0
248,86.22986,0
249,89.71973,0
250,89.71973,0
251,89.71973,0
252,89.72644,0
268,61.16577,0
258,78.86215,0
274,56.71429,0
266,70.0011,0
267,70.0011,0
286,43.96567,0
238,119.1663,0
281,62.42856,0
282,62.42856,0
302,28.14285,0
288,51.00003,0
283,62.42856,0
284,62.42856,0
285,62.42856,0
293,47.99106,0
