ID,Time in System, Time in search
910,91.66931,0
911,98.31285,0
915,101.8787,0
928,87.25681,0
909,139.5538,0
931,96.69528,0
942,93.55356,0
955,93.65997,0
954,109.4617,0
935,143.3087,0
897,230.3527,0
939,151.9286,0
940,151.9286,0
956,128.2057,0
949,149.0187,0
896,250.8878,0
957,132.4363,0
930,185.284,0
932,182.8589,0
933,185.7983,0
952,156.2431,0
961,137.1086,0
914,229.3661,0
988,108.5925,0
966,148.1703,0
948,189.9204,0
960,161.9661,0
923,233.1289,0
998,101.5508,0
924,238.847,0
981,139.2739,0
980,141.0643,0
951,201.9832,0
950,203.6202,0
959,197.6414,0
947,224.3894,0
1022,86.10432,0
963,201.2864,0
962,201.3203,0
1003,135.8595,0
946,239.9923,0
996,153.7389,0
989,178.2997,0
971,207.1222,0
941,265.0645,0
953,256.0849,0
992,196.2928,0
1013,162.1999,0
1049,98.18793,0
969,246.1048,0
970,246.1048,0
972,245.2354,0
973,245.2354,0
1044,120.9271,0
997,206.0262,0
1028,149.8076,0
974,253.222,0
1017,172.5236,0
1040,146.3127,0
912,380.0573,0
913,380.0573,0
958,307.5302,0
967,299.7498,0
1011,224.4377,0
990,277.7923,0
1041,191.4786,0
991,284.0793,0
1082,126.8861,0
1012,249.6833,0
1067,172.8033,0
993,300.8705,0
994,300.8705,0
1045,211.0878,0
1113,98.38937,0
1116,99.60922,0
1016,271.0948,0
999,308.804,0
1000,308.804,0
1001,308.804,0
1127,78.62515,0
1078,178.004,0
1076,190.5125,0
1010,301.5131,0
1068,206.7834,0
1069,206.7834,0
1070,206.7834,0
1071,206.7834,0
1018,284.8528,0
1142,63.58472,0
1120,117.8191,0
1025,281.3102,0
1026,281.3102,0
1027,281.3102,0
1130,103.9044,0
1104,160.1661,0
1105,160.1661,0
1108,158.4263,0
1031,298.4597,0
1032,298.4597,0
1033,298.4597,0
1093,203.9998,0
1094,203.9998,0
900,562.6727,0
901,562.6727,0
1159,83.02234,0
1148,111.0768,0
1146,111.1847,0
1147,111.1847,0
1103,205.2067,0
934,504.4931,0
1110,200.1543,0
1111,200.1543,0
1085,245.9024,0
1019,355.5529,0
1020,355.5529,0
1021,355.5529,0
968,457.0131,0
902,591.1742,0
903,591.1742,0
904,591.1742,0
905,591.1742,0
1050,318.8546,0
1112,217.2957,0
1030,353.0376,0
1081,278.6845,0
1150,147.302,0
1149,156.1258,0
1091,270.5882,0
1180,96.61603,0
1029,375.2455,0
1101,266.2876,0
1047,352.6517,0
1169,127.4348,0
975,480.5209,0
976,480.5209,0
977,480.5209,0
908,617.7005,0
1106,257.9748,0
1107,257.9748,0
1118,247.3118,0
1114,255.2347,0
1115,255.3434,0
1037,395.8391,0
1038,395.8391,0
1039,395.8391,0
1119,255.1029,0
