ID,Time in System, Time in search
910,91.66931,0
911,100.9425,0
915,102.4097,0
928,87.25681,0
909,138.3655,0
931,97.537,0
942,94.24641,0
955,93.65997,0
954,109.4617,0
935,143.3087,0
897,230.3527,0
939,151.6424,0
940,151.9286,0
949,148.5235,0
956,128.2057,0
896,250.8987,0
957,131.9962,0
930,184.2535,0
932,182.8589,0
933,184.4145,0
952,156.2551,0
961,137.1086,0
914,229.354,0
988,108.5925,0
966,147.1795,0
960,161.9661,0
948,191.3619,0
923,232.861,0
998,101.9745,0
924,237.3937,0
981,139.3755,0
980,141.0643,0
951,201.5536,0
950,203.6202,0
959,197.6414,0
947,224.3894,0
1022,85.78712,0
963,201.2864,0
962,201.4625,0
946,239.4052,0
1003,136.0517,0
996,153.7389,0
989,178.2997,0
971,207.1222,0
941,265.0645,0
953,256.0849,0
992,193.4356,0
1013,162.3921,0
1049,97.31522,0
969,246.1048,0
970,246.1048,0
972,245.2354,0
973,245.2354,0
1044,121.1368,0
997,206.0262,0
1028,149.9998,0
974,252.5193,0
1017,172.5236,0
1040,146.0163,0
912,380.0573,0
913,380.0573,0
958,307.5302,0
967,299.7498,0
1011,225.1585,0
990,277.7923,0
1041,191.4786,0
991,284.8853,0
1082,129.0302,0
1012,248.8814,0
1067,170.4806,0
993,300.8705,0
994,300.8705,0
1045,210.8052,0
1113,97.64343,0
1116,98.81329,0
1016,271.0948,0
999,308.804,0
1000,308.804,0
1001,308.804,0
1127,79.26978,0
1078,178.004,0
1076,190.5087,0
1010,301.5131,0
1068,206.7834,0
1069,206.7834,0
1070,206.7834,0
1071,206.7834,0
1018,284.8528,0
1142,63.04932,0
1120,117.0232,0
1025,281.3102,0
1026,281.3102,0
1027,281.3102,0
1130,99.41702,0
1104,160.1661,0
1105,160.1661,0
1093,186.6826,0
1094,186.6826,0
1031,298.4597,0
1032,298.4597,0
1033,298.4597,0
1108,178.7455,0
900,562.6727,0
901,562.6727,0
1159,79.12933,0
1146,111.0406,0
1147,111.0406,0
1148,111.0406,0
1103,205.2067,0
934,504.4931,0
1110,200.1543,0
1111,200.1543,0
1085,245.9024,0
968,454.1559,0
1019,355.5529,0
1020,355.5529,0
1021,355.5529,0
902,591.1742,0
903,591.1742,0
904,591.1742,0
905,591.1742,0
1050,318.8546,0
1112,217.2957,0
1030,353.0376,0
1081,278.6845,0
1150,147.1578,0
1149,153.2686,0
1091,270.5882,0
1029,375.2455,0
1109,244.8123,0
1101,267.4478,0
1047,350.939,0
1169,125.0602,0
975,480.5209,0
976,480.5209,0
977,480.5209,0
908,617.7005,0
1180,115.6422,0
1118,247.3118,0
1114,255.3434,0
1115,255.3434,0
1037,395.8391,0
1038,395.8391,0
1039,395.8391,0
1119,255.2695,0
1106,293.5443,0
1107,293.5443,0
916,629.8101,0
1051,383.7598,0
1132,237.7401,0
898,685.7147,0
899,685.7147,0
1073,376.2777,0
1160,211.0591,0
1161,211.0591,0
907,693.2314,0
1128,283.2422,0
995,531.5769,0
906,704.4322,0
1057,424.5596,0
1056,425.0464,0
1145,261.3062,0
1162,224.3827,0
1215,139.0686,0
1225,117.1493,0
1158,239.023,0
917,681.7602,0
918,681.7602,0
919,681.7602,0
1187,191.3557,0
1166,238.852,0
1074,423.7837,0
1222,144.6531,0
920,689.592,0
921,689.592,0
922,689.592,0
1075,428.712,0
925,698.7999,0
926,698.7999,0
927,698.7999,0
1174,243.5991,0
1252,108.86,0
929,701.4535,0
1275,88.45081,0
1224,183.9744,0
1204,224.2175,0
1176,274.6502,0
1004,593.8748,0
1131,355.3026,0
1165,299.1641,0
1185,260.5881,0
1186,260.5881,0
1245,155.3599,0
943,712.265,0
944,712.265,0
945,712.265,0
1189,256.9179,0
1141,351.8542,0
1284,90.81665,0
1140,361.9778,0
1092,461.7798,0
1292,93.1582,0
1264,152.9169,0
1192,281.2029,0
1181,305.1563,0
936,755.7768,0
937,755.7768,0
938,755.7768,0
1331,48.40436,0
1154,361.6129,0
1155,361.6129,0
1156,361.6129,0
964,712.1679,0
965,712.1679,0
1143,385.3172,0
1144,385.3172,0
1191,294.2847,0
1197,284.4391,0
1198,284.4391,0
1190,296.6744,0
982,698.4249,0
983,698.4249,0
984,698.4249,0
985,698.4249,0
1208,285.1012,0
1006,652.9579,0
1223,261.0346,0
1102,498.5024,0
1327,83.4162,0
1079,541.9796,0
1080,541.9796,0
1002,685.1998,0
1335,89.67224,0
978,734.8184,0
979,734.8184,0
1205,322.7004,0
1299,154.1328,0
1217,306.0506,0
1243,255.4648,0
