ID,Time in System, Time in search
910,91.66931,0
911,98.45712,0
915,100.3549,0
928,87.25681,0
909,138.8929,0
931,96.71191,0
942,94.24641,0
955,93.65997,0
954,108.5323,0
935,143.3087,0
897,230.3527,0
939,151.9212,0
940,151.9286,0
956,128.2057,0
949,149.0187,0
896,250.749,0
957,132.0015,0
930,184.8095,0
932,182.8589,0
933,184.729,0
952,156.4732,0
961,137.1086,0
914,229.6885,0
988,108.5925,0
966,147.4732,0
948,190.679,0
960,161.9661,0
923,232.861,0
998,100.9691,0
924,239.0646,0
981,138.8725,0
980,141.0643,0
951,202.5135,0
950,203.6202,0
959,197.6414,0
947,224.3894,0
1022,85.32008,0
962,201.2864,0
963,201.2864,0
1003,135.9722,0
946,240.9882,0
996,153.7389,0
989,178.2997,0
971,207.1222,0
941,265.0645,0
953,256.0849,0
992,196.2928,0
1013,162.3126,0
1049,97.88507,0
969,246.1048,0
970,246.1048,0
1044,120.4203,0
972,245.2354,0
973,245.2354,0
997,206.0262,0
1028,149.9203,0
1017,172.5236,0
974,253.5335,0
