ID,Time in System, Time in search
979,571.9801,205.691
947,653.8295,0
1048,451.9428,0
1040,629.3787,60.77139
1036,648.3102,0
972,799.6259,0
973,799.6259,0
1069,598.8902,71.75891
1070,598.8902,71.75891
1056,660.5127,62.20108
1033,728.5646,0
1035,733.7501,0
990,848.2386,190.7676
1012,817.1296,119.3043
993,883.5427,0
948,995.2499,0
1013,875.8384,119.0583
1098,720.0084,0
1063,788.4771,201.8935
983,962.5838,0
987,954.2141,0
953,1035.503,0
950,1049.309,0
992,963.0306,0
951,1057.88,0
1065,812.3894,0
1006,955.7068,0
991,1004.921,0
1032,908.598,0
1023,931.0602,0
962,1074.379,0
967,1070.537,227.895
968,1073.703,227.895
1090,830.8923,0
1106,802.8325,107.7778
1122,779.4501,0
1123,779.4501,0
1062,891.2595,0
1011,992.4206,122.905
1004,1014.076,141.8482
1094,846.6949,0
938,1184.775,0
939,1184.775,0
988,1097.838,181.6078
1007,1055.381,134.9649
1081,931.1482,0
1137,832.7701,185.6894
956,1196.182,0
957,1196.182,0
955,1204.753,0
1364,429.0207,0
1019,1090.815,0
936,1289.414,0
937,1289.414,0
995,1158.72,167.4183
999,1153.634,198.9639
1020,1097.958,0
1087,976.6998,0
1002,1149.47,149.7371
1107,945.071,107.7667
954,1259.367,0
1088,989.2059,17.76044
1207,775.5247,200.7708
1173,871.6466,0
1299,620.2087,0
1171,884.3264,186.6883
1178,872.9084,0
1179,872.9084,0
1205,818.1726,202.4668
946,1347.179,0
1339,594.4363,0
1051,1150.922,45.18776
1360,569.818,0
1096,1077.424,0
1097,1077.424,0
1197,905.7202,161.6174
1306,684.7061,253.8155
1350,617.2022,0
1034,1233.226,78.59355
1302,729.3672,0
1082,1157.35,0
1340,675.8122,17.21167
980,1391.728,0
1261,835.603,1.483459
1001,1346.836,0
1259,844.5915,205.7843
1255,869.0193,0
934,1513.152,0
1138,1110.219,167.654
940,1503.516,0
941,1503.516,0
942,1503.516,0
943,1503.516,0
1284,819.3846,0
1139,1110.169,0
1140,1110.169,0
1484,423.8643,0
1240,928.1316,0
1241,928.1316,0
1015,1359.38,0
1021,1349.79,99.95053
1177,1068.317,0
974,1474.104,219.325
1022,1357.326,99.95053
1120,1182.04,153.3775
1121,1182.04,153.3775
1158,1119.526,0
1345,748.7972,19.20331
1304,834.0135,211.5974
976,1494.171,212.8168
1045,1341.978,54.12856
1046,1341.978,54.12856
1047,1341.978,54.12856
945,1579.241,0
1232,1004.435,0
1233,1004.435,0
1073,1302.952,3.948059
1225,1024.786,227.3524
1200,1084.215,0
1298,898.5939,0
1334,824.3557,0
1471,554.2919,0
1268,959.2762,0
1024,1427.096,0
1111,1278.805,0
1266,979.9633,0
1504,512.5631,0
1018,1463.866,0
1282,964.2729,231.1573
1041,1418.002,0
1042,1418.002,0
1421,685.4648,0
1014,1477.925,0
1017,1478.182,0
1381,776.4409,222.0684
1230,1085.969,0
1250,1043.912,210.0891
1025,1474.302,91.8936
1189,1175.724,27.67578
1190,1175.724,27.67578
1472,611.4495,0
1465,636.2848,0
1455,662.5927,0
1347,887.3213,238.5497
1267,1045.484,0
1089,1391.387,126.9824
1305,974.1585,39.31311
1283,1025.506,10.05304
1574,439.1797,0
1217,1157.047,197.5026
1260,1074.794,184.2698
