ID,Time in System, Time in search
979,371.6737,0
1020,442.181,0
972,573.6468,0
947,643.8295,0
1050,499.0839,0
1048,549.208,0
985,678.749,0
1083,507.3086,0
1002,701.722,0
1063,583.3427,0
968,807.6476,0
1004,777.4092,0
1056,669.9927,0
1178,445.9573,0
1069,682.0352,0
1013,796.7988,0
1012,825.2632,0
948,982.8058,0
1190,498.9373,0
1006,883.9065,0
995,917.1861,0
953,1008.36,0
950,1019.309,0
951,1019.309,0
1065,782.757,0
1106,711.7642,0
1107,711.7642,0
1208,527.3805,0
969,1007.943,0
962,1034.379,0
1103,753.709,0
1081,804.3669,0
1046,899.0574,0
1192,600.7054,0
1007,977.3905,0
1032,930.0632,0
1033,930.0632,0
996,1023.592,0
1125,763.7416,0
992,1031.146,0
1180,651.6931,0
980,1064.728,0
977,1083.818,0
987,1061.102,0
1171,695.8545,0
938,1171.918,0
939,1171.918,0
1090,880.1061,0
1022,1013.143,0
1060,957.4263,0
1207,672.8718,0
1235,632.997,0
1023,1038.708,0
1024,1038.708,0
1025,1038.708,0
1140,833.5452,0
955,1216.282,0
956,1216.282,0
957,1216.282,0
1299,571.5974,0
1223,708.7401,0
991,1167.633,0
1097,951.1764,0
1098,951.1764,0
1005,1144.829,0
1122,908.6019,0
1123,908.6019,0
954,1246.51,0
946,1298.671,0
1109,964.3439,0
936,1334.865,0
937,1334.865,0
1340,577.3201,0
1362,534.3815,0
1121,974.5376,0
1143,953.0115,0
967,1299.407,0
1092,1050.007,0
1061,1125.85,0
1062,1125.85,0
1021,1206.906,0
1241,801.6962,0
1039,1197.473,0
1040,1197.473,0
1168,956.4312,0
1057,1169.442,0
1058,1169.442,0
1059,1169.442,0
1179,936.7425,0
1001,1303.17,0
1051,1207.93,0
940,1448.129,0
941,1448.129,0
942,1448.129,0
943,1448.129,0
934,1476.724,0
1252,842.6733,0
1091,1162.196,0
1339,720.8748,0
1373,651.7343,0
1156,1067.354,0
1080,1224.095,0
1170,1051.253,0
1011,1364.3,0
1044,1314.037,0
1045,1314.037,0
1290,851.642,0
1291,851.642,0
