Time, Seats Used, Seats Taken, Delta_Time, Increment_Used, Increment_Reserved
10,14,0,10,140,0
10,13,0,0,0,0
10,13,0,0,0,0
10,12,0,0,0,0
10,12,0,0,0,0
10,11,0,0,0,0
10,11,0,0,0,0
10,10,0,0,0,0
10,10,0,0,0,0
10,9,0,0,0,0
10,9,0,0,0,0
10,8,0,0,0,0
10,8,0,0,0,0
10,7,0,0,0,0
10,7,0,0,0,0
10,6,0,0,0,0
10,6,0,0,0,0
10,5,0,0,0,0
10,5,0,0,0,0
10,4,0,0,0,0
10,4,0,0,0,0
10,3,0,0,0,0
10,3,0,0,0,0
10,2,0,0,0,0
10,2,0,0,0,0
10,1,0,0,0,0
10,1,0,0,0,0
10,0,0,0,0,0
38.99163,0,0,28.99163,0,0
41.21768,0,1,2.226051,0,2.226051
41.21768,0,2,0,0,0
41.21768,0,3,0,0,0
41.21768,0,4,0,0,0
46.13448,0,5,4.916805,0,24.58403
47.13448,1,4,1,1,4
47.13448,0,4,0,0,0
49.78911,0,4,2.654625,0,10.6185
53.94745,1,3,4.15834,4.15834,12.47502
53.94745,1,4,0,0,0
53.94745,1,5,0,0,0
61.09031,1,6,7.142857,7.142857,42.85714
66.8046,2,5,5.714291,11.42858,28.57145
66.93196,3,4,0.1273651,0.3820953,0.5094604
69.78911,4,3,2.857147,11.42859,8.571442
72.64625,5,2,2.85714,14.2857,5.714279
72.76785,6,1,0.1216049,0.7296295,0.1216049
72.76785,6,2,0,0,0
72.76785,6,3,0,0,0
73.64625,6,4,0.8783951,5.27037,3.51358
73.64625,5,4,0,0,0
73.64625,5,4,0,0,0
73.64625,4,4,0,0,0
73.64625,4,4,0,0,0
73.64625,3,4,0,0,0
73.64625,3,4,0,0,0
73.64625,2,4,0,0,0
74.9939,2,4,1.347656,2.695313,5.390625
79.91071,2,5,4.916809,9.833618,24.58405
83.56533,3,4,3.654617,10.96385,14.61847
84.56533,4,3,1,4,3
84.56533,3,3,0,0,0
84.91602,3,3,0.3506851,1.052055,1.052055
84.91602,3,4,0,0,0
84.91602,3,5,0,0,0
84.91602,3,6,0,0,0
92.00939,3,7,7.093376,21.28013,49.65363
92.00939,3,8,0,0,0
92.05888,3,9,0.04948425,0.1484528,0.4453583
96.2951,4,8,4.236229,16.94492,33.88983
98.19469,5,7,1.899582,9.49791,13.29707
98.19469,5,8,0,0,0
99.15225,5,9,0.9575653,4.787827,8.618088
99.27962,6,8,0.1273651,0.7641907,1.018921
100.2796,7,7,1,7,7
100.2796,6,7,0,0,0
100.2796,6,7,0,0,0
100.2796,5,7,0,0,0
100.2796,5,7,0,0,0
100.2796,4,7,0,0,0
103.5653,4,7,3.285721,13.14288,23.00005
104.5653,5,6,1,5,6
104.5653,4,6,0,0,0
104.5653,4,6,0,0,0
104.5653,3,6,0,0,0
104.5653,3,6,0,0,0
104.5653,2,6,0,0,0
106.7661,2,6,2.200775,4.40155,13.20465
111.3918,3,5,4.625656,13.87697,23.12828
112.2742,3,6,0.8824158,2.647247,5.294495
114.5002,3,7,2.226051,6.678154,15.58236
118.6922,3,8,4.192009,12.57603,33.53607
118.6922,3,9,0,0,0
118.6922,3,10,0,0,0
119.417,3,11,0.7248001,2.1744,7.972801
119.9632,4,10,0.5461502,2.184601,5.461502
120.417,5,9,0.4538498,2.269249,4.084648
120.417,4,9,0,0,0
120.9632,4,9,0.5461502,2.184601,4.915352
120.9632,3,9,0,0,0
123.0717,3,9,2.108467,6.325401,18.9762
124.0717,4,8,1,4,8
