Time, Seats Used, Seats Taken, Delta_Time, Integral_Increment_Used, Integral_Increment_Reserved
4.441113,0,1,4.441113,0,4.441113
7.630362,0,2,3.189249,0,6.378497
7.630362,0,3,0,0,0
9.336928,0,4,1.706567,0,6.826267
10.10471,0,5,0.7677832,0,3.838916
13.70688,0,6,3.602165,0,21.61299
13.70688,0,7,0,0,0
17.56039,0,8,3.853516,0,30.82813
17.56039,0,9,0,0,0
17.56039,0,10,0,0,0
19.09038,0,11,1.529984,0,16.82982
22.49189,0,12,3.401512,0,40.81815
25.64222,0,13,3.150333,0,40.95433
25.64222,0,14,0,0,0
25.64222,0,15,0,0,0
29.00002,0,16,3.357794,0,53.7247
29.63727,0,17,0.6372566,0,10.83336
31.12275,0,18,1.485479,0,26.73863
31.12275,0,19,0,0,0
32.05524,0,20,0.9324856,0,18.64971
35.78138,0,21,3.726143,0,78.249
36.28947,0,22,0.508091,0,11.178
36.28947,0,23,0,0,0
36.28947,0,24,0,0,0
38.12155,0,25,1.832077,0,45.80193
42.05724,0,26,3.935688,0,102.3279
43.36588,0,27,1.308647,0,35.33347
43.36588,0,28,0,0,0
45.02108,0,29,1.655197,0,48.00072
45.44138,0,30,0.4203033,0,12.6091
45.44138,0,31,0,0,0
48.6111,0,32,3.16972,0,101.431
49.20009,1,31,0.5889893,0.5889893,18.25867
50.25972,1,32,1.059631,1.059631,33.9082
50.70906,2,31,0.4493332,0.8986664,13.92933
50.70906,3,30,0,0,0
52.084,3,31,1.374947,4.12484,42.62334
52.084,3,32,0,0,0
52.69898,3,33,0.614975,1.844925,20.29417
59.97422,3,34,7.275246,21.82574,247.3584
60.04983,4,33,0.07560349,0.3024139,2.494915
61.37937,5,32,1.329544,6.64772,42.54541
62.42953,5,33,1.050159,5.250797,34.65526
62.42953,5,34,0,0,0
62.63375,5,35,0.2042198,1.021099,7.147694
63.59052,6,34,0.956768,5.740608,32.53011
63.72406,6,35,0.1335411,0.8012466,4.673939
69.59671,6,36,5.87265,35.2359,211.4154
71.00096,7,35,1.404251,9.829758,49.14879
72.42953,8,34,1.428574,11.42859,48.5715
73.90334,9,33,1.473808,13.26427,48.63567
75.34297,10,32,1.439629,14.39629,46.06812
75.87428,10,33,0.531311,5.31311,17.53326
76.73957,11,32,0.8652878,9.518166,27.68921
77.40627,12,31,0.6666946,8.000336,20.66753
77.40627,11,31,0,0,0
77.40627,11,31,0,0,0
79.28638,11,32,1.880119,20.68131,60.16382
81.91795,11,33,2.631561,28.94717,86.84152
83.09984,12,32,1.181892,14.18271,37.82056
84.62522,12,33,1.525383,18.3046,50.33764
86.05699,12,34,1.43177,17.18124,48.68019
86.05699,12,35,0,0,0
86.34192,12,36,0.2849274,3.419128,10.25739
86.34192,12,37,0,0,0
86.34192,12,38,0,0,0
86.34192,12,39,0,0,0
86.42924,13,38,0.08732605,1.135239,3.31839
87.4249,13,39,0.9956512,12.94347,38.8304
88.06342,14,38,0.6385269,8.939377,24.26402
89.06081,15,37,0.9973831,14.96075,36.90318
92.76668,16,36,3.705872,59.29395,133.4114
93.34652,17,35,0.5798416,9.857307,20.29446
94.91335,18,34,1.566826,28.20287,53.27208
96.7779,18,35,1.864555,33.562,65.25944
97.69817,19,34,0.9202652,17.48504,31.28902
99.5068,19,35,1.808632,34.36401,63.30212
99.5068,19,36,0,0,0
99.5068,19,37,0,0,0
100.409,20,36,0.9021835,18.04367,32.47861
100.5743,20,37,0.1652832,3.305664,6.115479
100.8581,21,36,0.2838058,5.959923,10.21701
101.6946,21,37,0.8364944,17.56638,30.95029
102.9009,21,38,1.206306,25.33244,45.83965
106.1001,21,39,3.199242,67.18407,124.7704
106.1001,21,40,0,0,0
109.1457,22,39,3.045578,67.00272,118.7775
109.1457,21,39,0,0,0
109.1457,21,39,0,0,0
111.3563,21,40,2.210602,46.42264,88.42407
111.4723,22,39,0.1160049,2.552109,4.524193
113.4314,23,38,1.959114,45.05962,74.44633
114.5475,23,39,1.116135,25.6711,43.52925
114.5475,23,40,0,0,0
116.2082,24,39,1.660614,39.85474,64.76395
116.5408,25,38,0.3326416,8.31604,12.64038
117.4311,25,39,0.8903198,22.258,34.72247
118.5081,25,40,1.076988,26.92471,43.07953
118.5081,25,41,0,0,0
120.1161,26,40,1.607941,41.80646,64.31763
120.3475,26,41,0.2314529,6.017776,9.489571
124.574,27,40,4.226479,114.1149,169.0591
126.0618,28,39,1.487808,41.65863,58.02452
126.0618,27,39,0,0,0
126.0618,27,39,0,0,0
126.5734,28,38,0.5115814,14.32428,19.44009
128.7,29,37,2.126671,61.67345,78.68682
129.4453,29,38,0.745285,21.61327,28.32083
131.8688,29,39,2.423477,70.28084,94.51561
133.2125,30,38,1.343674,40.31021,51.0596
133.92,31,37,0.70755,21.93405,26.17935
135.5484,31,38,1.628372,50.47954,61.87814
135.5484,31,39,0,0,0
135.7323,32,38,0.1839294,5.885742,6.989319
136.7772,33,37,1.04483,34.4794,38.65872
137.5704,34,36,0.7932892,26.97183,28.55841
138.7748,35,35,1.204361,42.15263,42.15263
139.4828,36,34,0.7080231,25.48883,24.07278
