Time, Seats Used, Seats Taken, Delta_Time, Integral_Increment_Used, Integral_Increment_Reserved
4.441113,0,1,4.441113,0,4.441113
7.630362,0,2,3.189249,0,6.378497
7.630362,0,3,0,0,0
9.336928,0,4,1.706567,0,6.826267
10.10471,0,5,0.7677832,0,3.838916
13.70688,0,6,3.602165,0,21.61299
13.70688,0,7,0,0,0
17.56039,0,8,3.853516,0,30.82813
17.56039,0,9,0,0,0
17.56039,0,10,0,0,0
19.09038,0,11,1.529984,0,16.82982
22.49189,0,12,3.401512,0,40.81815
25.64222,0,13,3.150333,0,40.95433
25.64222,0,14,0,0,0
25.64222,0,15,0,0,0
29.00002,0,16,3.357794,0,53.7247
29.63727,0,17,0.6372566,0,10.83336
31.12275,0,18,1.485479,0,26.73863
31.12275,0,19,0,0,0
32.05524,0,20,0.9324856,0,18.64971
35.78138,0,21,3.726143,0,78.249
36.28947,0,22,0.508091,0,11.178
36.28947,0,23,0,0,0
36.28947,0,24,0,0,0
38.12155,0,25,1.832077,0,45.80193
42.05724,0,26,3.935688,0,102.3279
43.36588,0,27,1.308647,0,35.33347
43.36588,0,28,0,0,0
45.02108,0,29,1.655197,0,48.00072
45.44138,0,30,0.4203033,0,12.6091
45.44138,0,31,0,0,0
48.6111,0,32,3.16972,0,101.431
49.20009,1,31,0.5889893,0.5889893,18.25867
50.25972,1,32,1.059631,1.059631,33.9082
51.00325,2,31,0.7435226,1.487045,23.0492
51.00325,3,30,0,0,0
52.084,3,31,1.080757,3.242271,33.50347
52.084,3,32,0,0,0
52.69898,3,33,0.614975,1.844925,20.29417
59.97422,3,34,7.275246,21.82574,247.3584
60.04983,4,33,0.07560349,0.3024139,2.494915
61.02109,5,32,0.9712639,4.856319,31.08044
62.63375,5,33,1.612659,8.063297,53.21776
62.72372,5,34,0.08996964,0.4498482,3.058968
62.72372,5,35,0,0,0
63.59052,6,34,0.8667984,5.20079,29.47115
63.72406,6,35,0.1335411,0.8012466,4.673939
69.59671,6,36,5.87265,35.2359,211.4154
71.29515,7,35,1.698441,11.88908,59.44542
72.72372,8,34,1.428574,11.42859,48.5715
73.90334,9,33,1.179619,10.61657,38.92742
75.30301,10,32,1.399666,13.99666,44.78931
75.87428,10,33,0.5712738,5.712738,18.85204
76.73957,11,32,0.8652878,9.518166,27.68921
77.29625,12,31,0.5566788,6.680145,17.25704
77.29625,11,31,0,0,0
77.29625,11,31,0,0,0
79.28638,11,32,1.990135,21.89149,63.68433
82.21214,11,33,2.925751,32.18326,96.54977
82.74156,12,32,0.5294266,6.353119,16.94165
84.62522,12,33,1.883659,22.60391,62.16076
86.05699,12,34,1.43177,17.18124,48.68019
86.05699,12,35,0,0,0
86.34192,12,36,0.2849274,3.419128,10.25739
86.34192,12,37,0,0,0
86.34192,12,38,0,0,0
86.34192,12,39,0,0,0
86.42924,13,38,0.08732605,1.135239,3.31839
87.4249,13,39,0.9956512,12.94347,38.8304
88.06342,14,38,0.6385269,8.939377,24.26402
89.355,15,37,1.291573,19.37359,47.78819
92.76668,16,36,3.411682,54.58691,122.8206
93.64071,17,35,0.8740311,14.85853,30.59109
94.91335,18,34,1.272636,22.90746,43.26964
96.7779,18,35,1.864555,33.562,65.25944
97.58815,19,34,0.8102493,15.39474,27.54848
99.5068,19,35,1.918648,36.45431,67.15267
99.5068,19,36,0,0,0
99.5068,19,37,0,0,0
99.77316,20,36,0.2663574,5.327148,9.588867
100.409,21,35,0.6358261,13.35235,22.25391
100.8685,21,36,0.4594727,9.648926,16.54102
