Time, Seats Used, Seats Taken, Delta_Time, Increment_Used, Increment_Reserved
5.083195,219,57,5.083195,1113.22,289.7421
5.083195,219,58,0,0,0
10,219,59,4.916805,1076.78,290.0915
10,218,59,0,0,0
10,218,59,0,0,0
10,217,59,0,0,0
10,217,59,0,0,0
10,216,59,0,0,0
10,216,59,0,0,0
10,215,59,0,0,0
10,215,59,0,0,0
10,214,59,0,0,0
10,214,59,0,0,0
10,213,59,0,0,0
10,213,59,0,0,0
10,212,59,0,0,0
10,212,59,0,0,0
10,211,59,0,0,0
10,211,59,0,0,0
10,210,59,0,0,0
10,210,59,0,0,0
10,209,59,0,0,0
10.11381,209,59,0.1138115,23.7866,6.714878
10.11381,208,59,0,0,0
10.5555,208,59,0.4416924,91.87201,26.05985
10.5555,207,59,0,0,0
10.58679,207,59,0.03128719,6.476449,1.845944
10.58679,206,59,0,0,0
10.64392,206,59,0.05712986,11.76875,3.370662
10.64392,205,59,0,0,0
12.52138,205,59,1.877456,384.8784,110.7699
12.52138,204,59,0,0,0
13.52725,204,59,1.005875,205.1984,59.3466
13.52725,204,60,0,0,0
13.52725,204,61,0,0,0
13.52725,204,62,0,0,0
14.30574,204,63,0.778491,158.8122,49.04493
14.30574,203,63,0,0,0
14.75317,203,63,0.4474239,90.82706,28.18771
14.80129,203,64,0.0481205,9.768461,3.079712
14.80129,202,64,0,0,0
15.92439,202,64,1.123098,226.8659,71.8783
15.92439,202,65,0,0,0
17.0567,202,66,1.132311,228.7268,74.73251
17.0567,201,66,0,0,0
17.79343,201,66,0.7367325,148.0832,48.62434
18.91479,201,67,1.121363,225.3939,75.1313
18.91479,200,67,0,0,0
19.50633,200,67,0.5915413,118.3083,39.63327
19.50633,200,68,0,0,0
19.50633,200,69,0,0,0
19.50633,200,70,0,0,0
19.50633,200,71,0,0,0
21.64224,200,72,2.135908,427.1816,153.7854
21.64224,199,72,0,0,0
22.23212,199,72,0.5898762,117.3854,42.47108
22.23212,198,72,0,0,0
23.51417,198,72,1.282051,253.8461,92.30768
23.54539,198,73,0.0312233,6.182213,2.279301
23.54539,197,73,0,0,0
23.60237,197,73,0.05697823,11.22471,4.15941
23.60237,196,73,0,0,0
23.80222,196,73,0.1998482,39.17024,14.58892
23.80222,195,73,0,0,0
23.86551,195,73,0.06329155,12.34185,4.620283
23.86551,194,73,0,0,0
24.27152,194,73,0.4060078,78.7655,29.63857
24.27152,193,73,0,0,0
24.44368,193,73,0.1721611,33.22709,12.56776
24.44368,192,73,0,0,0
24.75317,192,73,0.3094883,59.42175,22.59265
25.21067,193,72,0.4575005,88.29759,32.94003
25.75317,193,73,0.5424995,104.7024,39.60247
25.75317,192,73,0,0,0
26.41802,192,73,0.6648521,127.6516,48.53421
26.41802,191,73,0,0,0
26.60398,191,73,0.1859627,35.51887,13.57528
26.60398,190,73,0,0,0
26.64919,190,73,0.04520798,8.589516,3.300182
27.38283,191,72,0.7336388,140.125,52.82199
27.38283,190,72,0,0,0
27.83407,190,72,0.4512386,85.73534,32.48918
27.83407,189,72,0,0,0
28.07776,189,72,0.2436943,46.05822,17.54599
29.50633,190,71,1.428572,271.4286,101.4286
29.50633,190,72,0,0,0
29.50633,190,73,0,0,0
29.50633,191,72,0,0,0
29.50633,191,73,0,0,0
29.50633,192,72,0,0,0
29.50633,192,73,0,0,0
29.71488,192,74,0.2085438,40.04041,15.43224
29.71488,191,74,0,0,0
29.8475,191,74,0.1326199,25.33039,9.813869
29.8475,190,74,0,0,0
29.90802,190,74,0.06052399,11.49956,4.478775
29.90802,189,74,0,0,0
29.98705,189,74,0.07902908,14.9365,5.848152
29.98705,188,74,0,0,0
30.22685,188,74,0.2398014,45.08266,17.7453
30.22685,187,74,0,0,0
30.50633,187,74,0.2794819,52.26311,20.68166
30.50633,186,74,0,0,0
30.51486,186,74,0.008525848,1.585808,0.6309128
30.51486,185,74,0,0,0
30.54455,185,74,0.02968788,5.492258,2.196903
30.54455,184,74,0,0,0
30.55105,184,74,0.006505966,1.197098,0.4814415
30.55105,183,74,0,0,0
31.21729,183,74,0.6662369,121.9213,49.30153
31.21729,182,74,0,0,0
31.27847,182,74,0.06118011,11.13478,4.527328
31.27847,181,74,0,0,0
32.36348,181,74,1.085007,196.3862,80.2905
32.51332,182,73,0.1498489,27.27251,10.93897
32.51332,181,73,0,0,0
33.13365,181,73,0.620327,112.2792,45.28387
33.13365,181,74,0,0,0
33.45677,181,75,0.3231163,58.48405,24.23372
33.45677,180,75,0,0,0
33.76611,180,75,0.3093414,55.68146,23.20061
33.76611,179,75,0,0,0
36.64919,179,75,2.88308,516.0712,216.231
37.54926,180,74,0.9000702,162.0126,66.60519
37.79988,180,75,0.2506218,45.11192,18.79663
38.43233,181,74,0.6324463,114.4728,46.80103
38.43233,180,74,0,0,0
39.28202,180,74,0.8496895,152.9441,62.87702
39.28202,179,74,0,0,0
39.50633,179,74,0.2243156,40.1525,16.59936
39.50633,179,75,0,0,0
39.50633,179,76,0,0,0
39.50633,179,77,0,0,0
39.53608,180,76,0.02975082,5.355148,2.261063
39.53608,179,76,0,0,0
39.65261,179,76,0.1165237,20.85775,8.855804
39.65261,178,76,0,0,0
39.82497,178,76,0.1723633,30.68066,13.09961
39.82497,177,76,0,0,0
40.02681,177,76,0.2018394,35.72558,15.3398
40.02681,176,76,0,0,0
40.14809,176,76,0.1212845,21.34607,9.217621
40.14809,175,76,0,0,0
40.38067,175,76,0.2325783,40.7012,17.67595
40.38067,174,76,0,0,0
40.50633,174,76,0.1256599,21.86483,9.550156
40.50633,173,76,0,0,0
40.7723,173,76,0.2659683,46.01252,20.21359
40.7723,172,76,0,0,0
40.93491,172,76,0.1626053,27.96811,12.358
40.93491,173,75,0,0,0
42.00359,174,74,1.06868,185.9503,79.08231
42.00359,173,74,0,0,0
42.17608,173,74,0.1724968,29.84195,12.76476
42.17608,172,74,0,0,0
42.99629,172,74,0.8202095,141.076,60.6955
