Time, Seats Used, Seats Taken, Delta_Time, Increment_Used, Increment_Reserved
6.277316,228,32,6.277316,1431.228,200.8741
6.277316,228,33,0,0,0
14.72137,228,34,8.444057,1925.245,287.098
14.72137,228,35,0,0,0
14.72137,228,36,0,0,0
14.72137,228,37,0,0,0
15.92439,228,38,1.203012,274.2868,45.71447
15.92439,228,39,0,0,0
19.31508,228,40,3.390697,773.079,135.6279
19.50633,228,41,0.1912498,43.60497,7.841244
19.50633,228,42,0,0,0
19.50633,228,43,0,0,0
19.50633,228,44,0,0,0
19.50633,228,45,0,0,0
19.75317,228,46,0.2468338,56.27811,11.35435
23.00809,228,47,3.254923,742.1224,152.9814
24.75317,228,48,1.745077,397.8776,83.7637
27.23405,228,49,2.480888,565.6426,121.5635
29.50633,228,50,2.272278,518.0793,113.6139
29.50633,228,51,0,0,0
29.50633,228,52,0,0,0
29.50633,229,51,0,0,0
29.50633,229,52,0,0,0
29.50633,229,53,0,0,0
31.28571,229,54,1.779379,407.4778,96.08646
32.36348,229,55,1.077765,246.8081,59.27705
33.51417,230,54,1.150692,264.6591,62.13737
33.79205,230,55,0.2778778,63.9119,15.28328
36.4896,231,54,2.697556,623.1353,145.668
36.4896,231,55,0,0,0
36.89602,231,56,0.4064217,93.88341,22.75961
37.02834,232,55,0.1323128,30.69656,7.277203
37.02834,232,56,0,0,0
38.07776,232,57,1.049423,243.4662,59.81712
38.07776,233,56,0,0,0
39.50633,234,55,1.428574,334.2862,78.57155
41.75557,234,56,2.249241,526.3224,125.9575
41.89602,234,57,0.1404495,32.86519,8.005623
42.91501,235,56,1.018986,239.4617,57.0632
43.51417,235,57,0.5991592,140.8024,34.15208
44.90557,235,58,1.391407,326.9807,80.70161
45.22062,235,59,0.3150444,74.03543,18.58762
47.02834,236,58,1.807716,426.6211,104.8475
47.02834,236,59,0,0,0
47.54926,236,60,0.5209236,122.938,31.25542
48.07776,236,61,0.5284996,124.7259,32.23848
48.07776,237,60,0,0,0
48.80748,238,59,0.7297211,173.6736,43.05354
49.50633,238,60,0.6988525,166.3269,41.93115
50.65702,239,59,1.150692,275.0154,67.89082
50.93491,240,58,0.2778816,66.69159,16.11713
52.91501,241,57,1.980103,477.2047,112.8658
52.91501,241,58,0,0,0
55.09852,241,59,2.18351,526.2259,128.8271
55.09852,241,60,0,0,0
57.02834,241,61,1.929817,465.0859,117.7188
57.02834,242,60,0,0,0
57.25306,242,61,0.2247276,54.38409,13.70839
57.25306,242,62,0,0,0
57.25306,242,63,0,0,0
57.25306,242,64,0,0,0
57.25306,242,65,0,0,0
57.25306,242,66,0,0,0
58.25229,242,67,0.9992218,241.8117,66.94786
58.4717,242,68,0.2194176,53.09905,14.92039
59.88548,242,69,1.413776,342.1339,97.55057
62.54926,243,68,2.66378,647.2986,181.1371
64.33665,243,69,1.787388,434.3352,123.3298
64.94274,243,70,0.6060944,147.2809,42.42661
65.09852,244,69,0.155777,38.00958,10.74861
66.64919,244,70,1.550674,378.3646,108.5472
66.94341,245,69,0.2942123,72.08202,20.30065
66.94341,245,70,0,0,0
67.20072,245,71,0.2573166,63.04256,18.26948
68.92252,246,70,1.721794,423.5613,120.5256
68.92252,246,71,0,0,0
