Time, Seats Used, Seats Taken, Delta_Time, Increment_Used, Increment_Reserved
6.277316,228,32,6.277316,1431.228,200.8741
6.277316,228,33,0,0,0
14.72137,228,34,8.444057,1925.245,287.098
14.72137,228,35,0,0,0
14.72137,228,36,0,0,0
14.72137,228,37,0,0,0
15.92439,228,38,1.203012,274.2868,45.71447
15.92439,228,39,0,0,0
19.31508,228,40,3.390697,773.079,135.6279
19.50633,228,41,0.1912498,43.60497,7.841244
19.50633,228,42,0,0,0
19.50633,228,43,0,0,0
19.50633,228,44,0,0,0
19.50633,228,45,0,0,0
19.75317,228,46,0.2468338,56.27811,11.35435
23.00809,228,47,3.254923,742.1224,152.9814
24.75317,228,48,1.745077,397.8776,83.7637
27.23405,228,49,2.480888,565.6426,121.5635
29.50633,228,50,2.272278,518.0793,113.6139
29.50633,228,51,0,0,0
29.50633,228,52,0,0,0
29.50633,229,51,0,0,0
29.50633,229,52,0,0,0
29.50633,229,53,0,0,0
31.28571,229,54,1.779379,407.4778,96.08646
32.36348,229,55,1.077765,246.8081,59.27705
33.51417,230,54,1.150692,264.6591,62.13737
33.79205,230,55,0.2778778,63.9119,15.28328
35.46745,231,54,1.675407,387.0191,90.472
36.4896,232,53,1.022148,237.1384,54.17385
36.4896,232,54,0,0,0
37.02834,232,55,0.5387344,124.9864,29.63039
37.02834,232,56,0,0,0
38.07776,232,57,1.049423,243.4662,59.81712
38.07776,233,56,0,0,0
39.50633,234,55,1.428574,334.2862,78.57155
40.46745,234,56,0.9611206,224.9022,53.82275
41.75557,235,55,1.28812,302.7083,70.84662
42.91501,235,56,1.159435,272.4673,64.92838
43.51417,235,57,0.5991592,140.8024,34.15208
44.90557,235,58,1.391407,326.9807,80.70161
45.22062,235,59,0.3150444,74.03543,18.58762
47.02834,236,58,1.807716,426.6211,104.8475
47.02834,236,59,0,0,0
47.54926,236,60,0.5209236,122.938,31.25542
48.07776,236,61,0.5284996,124.7259,32.23848
48.07776,237,60,0,0,0
48.80748,238,59,0.7297211,173.6736,43.05354
49.50633,238,60,0.6988525,166.3269,41.93115
50.65702,239,59,1.150692,275.0154,67.89082
50.93491,240,58,0.2778816,66.69159,16.11713
52.91501,241,57,1.980103,477.2047,112.8658
52.91501,241,58,0,0,0
55.09852,241,59,2.18351,526.2259,128.8271
55.09852,241,60,0,0,0
57.02834,241,61,1.929817,465.0859,117.7188
57.02834,242,60,0,0,0
57.02834,243,59,0,0,0
57.25306,243,60,0.2247276,54.60881,13.48366
57.25306,243,61,0,0,0
57.25306,243,62,0,0,0
57.25306,243,63,0,0,0
57.25306,243,64,0,0,0
57.25306,243,65,0,0,0
58.25229,243,66,0.9992218,242.8109,65.94864
58.4717,243,67,0.2194176,53.31847,14.70098
60.93491,243,68,2.463203,598.5584,167.4978
62.08559,244,67,1.150688,280.7679,77.09611
62.54926,245,66,0.463665,113.5979,30.60189
62.91501,245,67,0.3657494,89.6086,24.50521
64.33665,246,66,1.421638,349.7231,93.82814
65.09852,246,67,0.7618713,187.4203,51.04538
66.94341,246,68,1.844887,453.8422,125.4523
66.94341,246,69,0,0,0
67.54926,246,70,0.6058502,149.0392,42.40952
68.92252,247,69,1.37326,339.1953,94.75497
