ID,Time in System, Time in search
81,34.87494,0
102,28.14286,0
83,59.57142,0
84,59.57142,0
85,59.57142,0
86,59.57142,0
80,68.14286,0
87,61.12737,0
88,61.12737,0
89,61.12737,0
99,53.85714,0
100,53.85714,0
101,53.85714,0
109,34.89308,0
82,89.06781,0
97,71.48,0
104,61.45911,0
105,61.45911,0
98,78.01971,0
107,56.71429,0
108,56.71429,0
106,68.30911,0
110,59.14091,0
90,101.5874,0
91,101.5874,0
92,101.5874,0
93,101.5874,0
117,56.71428,0
121,48.14286,0
111,68.14285,0
128,43.44624,0
112,68.84326,0
113,68.84326,0
118,60.1241,0
103,96.14719,0
131,48.14287,0
132,48.14287,0
94,121.5874,0
95,121.5874,0
96,121.5874,0
120,66.33035,0
114,84.06227,0
115,84.06227,0
116,84.06227,0
119,78.14287,0
136,51.00001,0
133,59.57143,0
142,49.63431,0
139,57.52446,0
140,57.52446,0
126,80.22764,0
147,51.96529,0
127,88.77241,0
141,66.80909,0
161,34.7782,0
122,100.074,0
123,100.074,0
124,100.074,0
125,100.074,0
134,85.6525,0
135,86.66665,0
154,56.7143,0
155,56.7143,0
143,77.11695,0
137,87.27531,0
160,53.85713,0
144,79.03205,0
129,99.8474,0
130,99.8474,0
151,66.54459,0
152,66.54459,0
153,66.54459,0
138,92.05751,0
168,41.59862,0
145,83.53369,0
166,54.67882,0
146,88.26599,0
164,59.57143,0
165,59.57143,0
156,78.14285,0
150,86.83678,0
180,42.01636,0
148,88.14286,0
149,88.14286,0
181,43.34334,0
158,88.34177,0
167,74.87659,0
157,89.26361,0
159,89.26361,0
169,64.36255,0
173,66.30762,0
174,66.08681,0
162,93.2206,0
170,75.28571,0
171,75.28571,0
172,75.28571,0
182,63.30019,0
183,63.30019,0
184,63.30019,0
163,98.01161,0
189,58.52956,0
175,75.8468,0
206,53.85713,0
207,48.14285,0
208,48.14285,0
209,48.14285,0
190,75.30034,0
197,66.29129,0
185,87.47404,0
186,87.47404,0
187,87.47404,0
188,87.47404,0
191,81.63553,0
192,81.63553,0
193,81.63553,0
194,83.24048,0
195,83.24048,0
196,83.24048,0
214,56.50648,0
226,34.95551,0
211,64.99289,0
212,64.99289,0
210,70.15318,0
216,61.30148,0
176,118.3354,0
177,118.3354,0
178,118.3354,0
179,118.3354,0
205,88.49411,0
