ID,Time in System, Time in search
993,544.0533,0
947,643.8295,0
979,589.6765,0
1059,442.2737,0
990,584.3591,0
1040,537.9595,0
1026,558.39,0
1020,571.1407,0
1053,584.9606,0
1078,532.3973,0
1063,569.064,0
972,784.4277,0
973,784.4277,0
1050,665.1885,0
1122,581.5487,0
985,872.7645,0
997,852.5156,0
1106,646.3218,0
948,982.8058,0
1065,775.4503,0
983,947.3981,0
1032,862.0551,0
1033,862.0551,0
950,1026.452,0
951,1026.452,0
953,1018.36,0
1011,911.6996,0
1069,814.1252,0
999,951.2443,0
962,1031.522,0
1012,951.7966,0
1013,951.7966,0
1023,934.9177,0
1024,934.9177,0
1025,934.9177,0
967,1060.857,0
968,1060.857,0
1004,994.8588,0
938,1173.347,0
939,1173.347,0
1208,644.72,0
1021,1012.104,0
1022,1012.104,0
1068,920.2729,0
1137,802.3912,0
1179,722.6328,0
1121,848.6851,0
1340,428.242,0
1140,821.9877,0
955,1185.504,0
956,1185.504,0
957,1185.504,0
1062,987.0924,0
1123,881.6453,0
1260,611.9835,0
1290,561.0378,0
1036,1073.115,0
1037,1073.115,0
954,1245.082,0
1225,732.1794,0
1233,724.0141,0
946,1304.385,0
936,1334.865,0
937,1334.865,0
1138,940.8457,0
1382,466.2286,0
1259,717.6738,0
1229,784.6531,0
1217,816.9933,0
1187,870.3632,0
1045,1167.442,0
1046,1167.442,0
1257,755.2175,0
1061,1145.037,0
1006,1247.657,0
1007,1247.657,0
1223,844.7518,0
1118,1056.841,0
1178,948.4387,0
1047,1204.301,0
1048,1204.301,0
1180,941.9169,0
1269,768.5385,0
1058,1189.708,0
1081,1147.739,0
1143,1039.815,0
1304,728.3121,0
996,1331.961,0
1041,1251.793,0
940,1452.415,0
941,1452.415,0
942,1452.415,0
943,1452.415,0
1038,1262.469,0
1484,382.5977,0
980,1373.652,0
1034,1270.123,0
1035,1270.123,0
1139,1072.557,0
1060,1222.21,0
934,1478.152,0
995,1351.459,0
1177,1040.675,0
974,1453.875,0
1067,1260.56,0
1515,379.9999,0
1261,890.3314,0
1251,919.4731,0
1252,919.4731,0
1345,741.6246,0
945,1534.955,0
991,1447.347,0
992,1447.347,0
1518,404.118,0
1235,975.4979,0
1334,790.7963,0
1232,991.3163,0
1168,1124.151,0
1454,576.9996,0
1446,591.2558,0
1432,623.1589,0
1039,1393.634,0
1100,1276.8,0
1189,1102.193,0
1190,1102.193,0
976,1535.343,0
1266,969.146,0
