Time, Seats Used, Seats Taken, Delta_Time, Increment_Used, Increment_Reserved
10,14,0,10,140,0
10,13,0,0,0,0
10,13,0,0,0,0
10,12,0,0,0,0
10,12,0,0,0,0
10,11,0,0,0,0
10,11,0,0,0,0
10,10,0,0,0,0
10,10,0,0,0,0
10,9,0,0,0,0
10,9,0,0,0,0
10,8,0,0,0,0
10,8,0,0,0,0
10,7,0,0,0,0
10,7,0,0,0,0
10,6,0,0,0,0
10,6,0,0,0,0
10,5,0,0,0,0
10,5,0,0,0,0
10,4,0,0,0,0
10,4,0,0,0,0
10,3,0,0,0,0
10,3,0,0,0,0
10,2,0,0,0,0
10,2,0,0,0,0
10,1,0,0,0,0
10,1,0,0,0,0
10,0,0,0,0,0
17.14286,0,0,7.142857,0,0
19.36891,0,1,2.226051,0,2.226051
19.36891,0,2,0,0,0
19.36891,0,3,0,0,0
19.36891,0,4,0,0,0
24.28571,0,5,4.916805,0,24.58403
25.28571,1,4,1,1,4
25.28571,0,4,0,0,0
27.94034,0,4,2.654623,0,10.61849
32.09868,1,3,4.158342,4.158342,12.47503
32.09868,1,4,0,0,0
32.09868,1,5,0,0,0
39.24154,1,6,7.142857,7.142857,42.85714
42.35352,2,5,3.111988,6.223976,15.55994
42.35352,2,6,0,0,0
42.35352,2,7,0,0,0
43.2925,2,8,0.9389801,1.87796,7.511841
44.95582,2,9,1.663319,3.326637,14.96987
45.08319,3,8,0.1273727,0.3821182,1.018982
47.94034,4,7,2.857143,11.42857,20
49.49638,5,6,1.556042,7.780209,9.33625
50.79748,6,5,1.301098,7.806587,6.505489
51.79748,7,4,1,7,4
51.79748,6,4,0,0,0
51.79748,6,4,0,0,0
51.79748,5,4,0,0,0
51.79748,5,4,0,0,0
51.79748,4,4,0,0,0
51.79748,4,4,0,0,0
51.79748,3,4,0,0,0
51.86393,3,4,0.06645584,0.1993675,0.2658234
52.35353,4,3,0.4895935,1.958374,1.468781
52.86393,5,2,0.5104065,2.552032,1.020813
52.86393,4,2,0,0,0
54.28571,4,2,1.42178,5.687119,2.843559
56.51176,4,3,2.226051,8.904205,6.678154
57.94033,4,4,1.42857,5.714279,5.714279
58.94033,5,3,1,5,3
58.94033,4,3,0,0,0
58.94033,4,3,0,0,0
58.94033,3,3,0,0,0
58.94033,3,3,0,0,0
58.94033,2,3,0,0,0
60.46584,2,3,1.525509,3.051018,4.576527
60.46584,2,4,0,0,0
62.35352,2,5,1.88768,3.77536,9.4384
62.85714,2,6,0.5036201,1.00724,3.021721
62.98988,3,5,0.13274,0.3982201,0.6637001
62.98988,3,6,0,0,0
63.06724,3,7,0.07735825,0.2320747,0.5415077
63.06724,3,8,0,0,0
63.06724,3,9,0,0,0
63.06724,3,10,0,0,0
63.78209,3,11,0.7148514,2.144554,7.863365
63.85714,4,10,0.07505035,0.3002014,0.7505035
63.85714,3,10,0,0,0
64.78209,3,10,0.9249458,2.774837,9.249458
64.78209,2,10,0,0,0
64.78209,2,10,0,0,0
64.78209,1,10,0,0,0
64.78209,1,10,0,0,0
64.78209,0,10,0,0,0
65.08319,0,10,0.3011017,0,3.011017
66.08319,1,9,1,1,9
66.08319,0,9,0,0,0
66.18013,0,9,0.09693909,0,0.8724518
66.51176,1,8,0.3316345,0.3316345,2.653076
68.7282,1,9,2.216431,2.216431,19.94788
69.49638,1,10,0.7681885,0.7681885,7.681885
70.13274,2,9,0.6363602,1.27272,5.727242
70.49638,3,8,0.3636398,1.090919,2.909119
70.49638,2,8,0,0,0
